YYYY,MM,DD,year,day
2010,10,01,1,-19
2010,10,02,1,-18
2010,10,03,1,-17
2010,10,04,1,-16
2010,10,05,1,-15
2010,10,06,1,-14
2010,10,07,1,-13
2010,10,08,1,-12
2010,10,09,1,-11
2010,10,10,1,-10
2010,10,11,1,-9
2010,10,12,1,-8
2010,10,13,1,-7
2010,10,14,1,-6
2010,10,15,1,-5
2010,10,16,1,-4
2010,10,17,1,-3
2010,10,18,1,-2
2010,10,19,1,-1
2010,10,20,1,1
2010,10,21,1,2
2010,10,22,1,3
2010,10,23,1,4
2010,10,24,1,5
2010,10,25,1,6
2010,10,26,1,7
2010,10,27,1,8
2010,10,28,1,9
2010,10,29,1,10
2010,10,30,1,11
2010,10,31,1,12
